id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10595,Condo in Athens · ★4.83 · 3 bedrooms · 5 beds · 2 baths,37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98863,23.76527,Entire home/apt,144,1,42,2023-09-10,0.28,7,359,8,00000957568
10990,Rental unit in Athens · ★4.80 · 1 bedroom · 1 bed · 1 bath,37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98903,23.76448,Entire home/apt,70,1,66,2023-07-01,0.49,7,74,3,00001070920
10993,Rental unit in Athens · ★4.84 · Studio · 2 beds · 1 bath,37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98888,23.76473,Entire home/apt,85,1,92,2023-07-07,0.69,7,52,5,00000957080
10995,Rental unit in Athens · ★4.80 · 1 bedroom · 2 beds · 1 bath,37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98903,23.76448,Entire home/apt,60,1,30,2023-06-02,0.19,7,73,1,00000957422
27262,Rental unit in Athens · ★4.81 · 1 bedroom · 1 bed · 1 bath,37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98924,23.765,Entire home/apt,85,1,21,2023-06-02,0.16,7,90,2,00000957579
28186,Loft in Athens · ★4.82 · 1 bedroom · 2 beds · 1 bath,121318,Francis - Fotios,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.976334,23.729834,Entire home/apt,99,2,495,2023-09-17,3.59,2,352,13,00001466012
31155,Rental unit in Athens · 1 bedroom · 1 bed · 1 shared bath,133845,Irene,,ΚΕΡΑΜΕΙΚΟΣ,37.97962,23.71589,Private room,39,1,0,,,1,0,0,
33945,Rental unit in Athens · ★4.69 · 2 bedrooms · 2 beds · 1 bath,146553,Katerina,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.00673,23.72775,Entire home/apt,30,5,72,2022-01-10,0.46,2,174,0,00000874421
49489,Rental unit in Athens · ★4.69 · 3 bedrooms · 5 beds · 1.5 baths,225612,Stathis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9767,23.73064,Entire home/apt,180,2,136,2023-09-11,0.93,1,329,8,00000876484
60394,Condo in Athens · ★4.97 · 1 bedroom · 3 beds · 1 bath,290864,Mika,,ΣΤΑΔΙΟ,37.96738,23.74038,Entire home/apt,32,6,30,2023-07-30,0.30,1,126,16,01039140005
